번호,작성자,작성일,댓글,회차,좋아요,대댓글수
6638,로맨스마니아,17.05.05,표현하는 거 자체를 무지 쑥스러워하고 부끄러워 하는 영준의 배려는 넘 멋지다... ㅎㅎ,김 비서가 왜 그럴까(애장판) 81화,2,댓글 달기
6639,뽀~♡,17.05.05,"지 아빠보다 더한것들을 품고 있군
김미소ㅋㅋ
용하다 들깨가루ㅋㅋ 먹기도 전에~ㅋ",김 비서가 왜 그럴까(애장판) 67화,2,1
6640,은하수,17.05.05,"넘~~넘~~재밌게 봤어요!
작가님!  또 없나요?
새로운 작품 올라오면 언제든지
달려갈께요~~~~!",김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6641,혜굥~♡,17.05.04,그 어마무시한 사건이후로 악몽에 시다리느라  잠 한 숨 못 잤을 영준~~  마음이 짜~ 안 합니다...ㅠㅠ,김 비서가 왜 그럴까(애장판) 77화,2,댓글 달기
6642,내게있는능력썩힐필요없다!,17.05.04,"어쩐지;  식목일이라 그렇게 싱싱하고씩씩한거였어??나무도 큰나무가 되기까지 고난의 연속이잖아. 다컸으니 행복한날만 계속 기다리고있고;""~~ 영준씨 아들삼형제. 선물입니다~~~🎊🎊🎊🎊🎊🎊🎊",김 비서가 왜 그럴까(애장판) 69화,2,댓글 달기
6643,날닭,17.05.04,글씨가 어떻게 하면 미칠 듯이 섹시할 수가 있을까요?!,김 비서가 왜 그럴까(애장판) 76화,2,댓글 달기
6644,혜굥~♡,17.05.04,영준앓이 였는데 태양앓이로 갈아 타는 되었어욤~ ㅎㅎ 정말 사랑스럽네요~♡,김 비서가 왜 그럴까(애장판) 73화,2,댓글 달기
6645,귤오둥이,17.05.04,순금으로된거없녜 ㅋㅋㅋㅋㅋ 깨알같이 숨은 개그 ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6646,2빅토리아,17.05.04,외전도  넘나잼나네요ㅎㅎ,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6647,KATTUN,17.05.04,이게 얼마만에 외전인게냐! ㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6648,쥬시리라,17.05.04,"끈끈이 영준,,,ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6649,뽀~♡,17.05.04,"외고집 노인장ㅋㅋ
정신차리지 말고 가만 있으시구려ㅋㅋ",김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6650,💎로설👅로판을끊어야함911,17.05.04,"아항~
외전이 나온거구나 ㅋ

새로운건줄 알았는데 ...
잼나는 외전 

기대
기대 
ㅎㅎ

봐야겠구나 ㅋㅋ",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6651,나날,17.05.04,따흐흑에서 물 뱉을뻔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6652,지금부터시작,17.05.04,유치한 장난감 갖고싶어했던 태양이가  생각나네요^^,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6653,슬비공주,17.05.04,와 외전아,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6654,맘맘,17.05.04,클클클클~~~껄껄껄~~~~흐~~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6655,그레이로즈,17.05.04,외전 지금에서야 알았네요 ㅜㅜ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6656,진진,17.05.04,헐헐 외전이라닛ㅜㅜ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6657,안녕,17.05.03,피이스ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6658,루디,17.05.03,와아~ 드디어 진도다운 진도다~,김 비서가 왜 그럴까(애장판) 38화,2,댓글 달기
6659,까칠한토끼,17.05.03,어머.어머.어머♡,김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6660,지니엘,17.05.03,최여사가 미소에게 성현이라고 말했는데 미소는 성연이라고 잘못 들은 건 말이 안되나? 영준이 예전이름 말한건데 미소는 사모님이 성현을 성연으로 잘못 말했다고 느끼고 넘어간 건 아닐까 싶은데,김 비서가 왜 그럴까(애장판) 43화,2,2
6661,우물파는목마른놈,17.05.02,간만에 왔는데 표지가 바뀌어서 놀람,김 비서가 왜 그럴까(애장판) 73화,2,댓글 달기
6662,제노,17.05.02,역시 거미가 아니라 그 여자였군요!  앞에 회차에서 누가 그렇게 적어주셨던데......,김 비서가 왜 그럴까(애장판) 50화,2,댓글 달기
6663,뭬얔,17.05.02,캬. 카리스마여주  완전 맘에들어요. 어우 시원해~,김 비서가 왜 그럴까(애장판) 09화,2,댓글 달기
6664,지로냥,17.05.02,몰아서 자면 안좋은데 영준아...,김 비서가 왜 그럴까(애장판) 41화,2,댓글 달기
6665,혜경,17.05.02,저도 만화보다가 여기로 넘어왔는데 재밌어요 흐흐훗,김 비서가 왜 그럴까(애장판) 07화,2,댓글 달기
6666,서석공,17.05.02,볼 수록 따뜻하여 계속 눈이 멈춰집니다ㆍ^^,김 비서가 왜 그럴까(애장판) 77화,2,댓글 달기
6667,aaron,17.05.01,너어무 생각 같은 일이 없어서 당황했을거야..,김 비서가 왜 그럴까(애장판) 75화,2,댓글 달기
6668,칠공칠,17.05.01,ㅋㅋㅋ따흐흣이라니 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6669,조조마마,17.05.01,오호 외전이 올라 왔네요.   미소와 영준의 밀당 또 보나요.  반가워라.   잘 봤던 거라 담아두길 잘 했네요^^,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6670,루디,17.05.01,그냥 둘이 결혼해라...,김 비서가 왜 그럴까(애장판) 37화,2,댓글 달기
6671,"자야,하늘가리기,이리리,한민트",17.05.01,"흠..카카오페이지 외전 갖고 돈 버는 재미 들린 듯..더 봐서 좋지만..자꾸 이리 찔끔 추가하면서 최신편은 기다무 안되고..어찌함 돈 들어올까 무지 머리 굴리는 소리가 들리네요..
작품 더 읽을 수 있어서 좋은 반면 좀 씁쓸한 기분 드는 것도 어쩔 수 없네요..",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6672,유니,17.05.01,생각지도 못한 외전 감사해요~~~~^^,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6673,유니,17.05.01,반갑구만 반가워요~~~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6674,갱이,17.05.01,태양이에이어 로라 태몽은 아무리 소설이지만 넘한다 ㅋㅋ 저정도꿈은 세계정복자나올태몽도 못꿀것같으니,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6675,지니엘,17.05.01,바로 이거죠,김 비서가 왜 그럴까(애장판) 41화,2,댓글 달기
6676,Astro,17.04.30,식스센스 스포당했네요ㅋㅋㅋㅋㅋ쿠ㅜㅜ,김 비서가 왜 그럴까(애장판) 50화,2,댓글 달기
6677,유소아,17.04.30,성연이 진짜 노답인데 어린애에 망상증환자라 그렇다 치면 부모님이 제일 잘못된 선택을 했네요 지금도 현재진행형이라니ㅋㅋㅋ어릴때 냅둔 것도 뭐지 싶은데 이제 정신과 보내야했는데 납치피해자에 신체도 상한 애를 냅두고 멀쩡한데 지 열등감과 죄책감?에 못견뎌 지랄하는 애를 감쌌네요?ㅋㅋ,김 비서가 왜 그럴까(애장판) 44화,2,댓글 달기
6678,라넌큘러스,17.04.30,야호~~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6679,테라포밍,17.04.29,작가님 표현이 넘나 찰져서 웃음이 빵빵~~,김 비서가 왜 그럴까(애장판) 47화,2,댓글 달기
6680,루치,17.04.29,ㅂㄷㅂㄷ,김 비서가 왜 그럴까(애장판) 58화,2,댓글 달기
6681,자유인,17.04.29,와. .너무 재밌게 보고있습니다ㅜ 기무 못기다리겠으. . .,김 비서가 왜 그럴까(애장판) 56화,2,댓글 달기
6682,초이,17.04.29,배꼽빠지게 웃고있는데 뚝!!!  엥??? 아니 왜 그 뒤가없어요??? 아니죠?? 외전 또 나오죠??? 이번엔 호진서정 커플네와 함께하는 외전 플리즈~~~,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6683,뱃살이랑,17.04.29,그간의  숨겨진  이야기들,김 비서가 왜 그럴까(애장판) 75화,2,댓글 달기
6684,퍼니펀,17.04.29,기립합체....나만 여기서 터졌나,김 비서가 왜 그럴까(애장판) 33화,2,댓글 달기
6685,지나가던사람,17.04.28,큭...나만 토끼눈의 부회장님을 생각한거ㅋㅋ,김 비서가 왜 그럴까(애장판) 81화,2,댓글 달기
6686,하양,17.04.28,ㅋㅋㅋㅡㅡㅡ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6687,키티니,17.04.28,너무재미있네요,김 비서가 왜 그럴까(애장판) 09화,2,댓글 달기
6688,모야모야,17.04.28,영준씨 이젠 아프지마요!!!,김 비서가 왜 그럴까(애장판) 42화,2,댓글 달기
6689,강완규 a.k.a 가연성핵레몬,17.04.28,형 동생 이름이 바뀌었거나 한거 같고. 영준이 케이블타이 싫어하는건 유괴한사람이 목대달고 죽은게 생각나서고나 목졸린적이있어서 거나 미소는 사람이 매달려있는걸 거미오 기억하는거 같고,김 비서가 왜 그럴까(애장판) 23화,2,댓글 달기
6690,루치,17.04.28,아 넘나 꿀잼인것ㅠㅠ,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6691,루치,17.04.28,ㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6692,막둥이쫑,17.04.28,좀 도 보고 파여,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6693,젤좋아청소가,17.04.28,아...재밌어.......재밌어서 눈물 나요,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6694,아름드리,17.04.28,"애잔하다ㅋㅋ
근데 그게 그렇게 화낼일이야? 쭌아?ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 83화,2,댓글 달기
6695,써니7751,17.04.27,"아......댓글보니, 오늘외전 뜬거구나~~
딱 맞췄네요..",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6696,진명수(소설은감동이다),17.04.27,오~~~일러가 이삐네^^~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6697,달달,17.04.27,"아아ㅡㅡㅡㅡ고진감래라했던가
이제달달하게살자.♥♥♥",김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6698,데굴데굴,17.04.27,둘이 대화하는거 취향저격이네요 하핫,김 비서가 왜 그럴까(애장판) 81화,2,댓글 달기
6699,제이제이,17.04.27,ㅋㅋ 태양이 미래가 궁금해지네요~보배가 껌딱지!!!,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6700,지나가던사람,17.04.27,"작가님 사랑해요!
영준아...너는 미소에게 가려면 한~참 멀었다",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6701,cacao,17.04.27,미소 뭘 고를레나 차총이라...,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6702,힝....,17.04.27,끼야호,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6703,cacao,17.04.27,ㅋㅋㅋ 미소야 우째 그래 또 넘어 가노 !!!  ㅎㅎㅎ 영준이 한마디에 그냥 ...ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6704,미라클,17.04.27,이커플을 다시볼수있다니!!,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6705,hyun♥,17.04.27,"본거 또보구이썼는데  쒼나용♥~
셀카보오옹ㅋㅋ",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6706,럽럽마미,17.04.27,외전은사랑입니다~~캐쉬충전하러갑니다요,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6707,🌸🌸고냥이로소이다🌸🌸,17.04.27,어! ! 난 충전했다!  ㅋㅋ,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6708,🌸🌸고냥이로소이다🌸🌸,17.04.27,ㅋㅋ 마무리에 실패했어! ! ㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6709,엘와이,17.04.27,3등ᆢ전 숫자 3  좋아해욤 ㅋ,김 비서가 왜 그럴까(애장판) 82화,2,댓글 달기
6710,silvia,17.04.27,외전이라니~~~~!!!!감사하게 ㅎㅎ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6711,너랑외식안해🚮😧,17.04.27,잠시 멈춤!  이게  뭐지?  앗싸~~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6712,김현숙,17.04.27,난 2등?,김 비서가 왜 그럴까(애장판) 82화,2,댓글 달기
6713,난님,17.04.27,ㅎㅎ 외전도 좋네요^^,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6714,초이,17.04.27,꺄~~ 왠일왠일!!! 알람소리에 얼마나 기뻤던지...♥♥,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6715,키티니,17.04.27,너무재미있네요,김 비서가 왜 그럴까(애장판) 08화,2,댓글 달기
6716,나나,17.04.27,크리스마스 선물같은 기분이 드네요ㅎㅎ 감사합니다😘,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6717,조순금(골드공주),17.04.27,외전 완전 땡잡았네요~넘넘좋아요^^,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6718,조순금(골드공주),17.04.27,오~~후 깜짝선물 작가님 굿센스~~,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6719,라라랄라라,17.04.27,보배 귀염,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6720,지썽,17.04.27,흐귱...ㅠㅠ 외전 나올줄 모르고 캐시를 다 썼는데!!!!ㅠㅠㅠ,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6721,슈퍼블루블러드문,17.04.27,"작가님 땡큐땡큐^^
생각도 못한 특별판이네요",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6722,유후~♡,17.04.26,"헐~~~~
영준 속좀 들여다보자..
쌔카맣게타서 하얀 재만 남아있는건 아닌지..",김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6723,다크,17.04.26,수고하셨어요~ 정말 너무나 재밌게 읽었습니다~~,김 비서가 왜 그럴까(애장판) 78화,2,댓글 달기
6724,승아,17.04.26,똑같은 것들,김 비서가 왜 그럴까(애장판) 58화,2,댓글 달기
6725,루치,17.04.26,어라? 만화에서 영준어머니랑 미소가 대화하는게 소설로는 이번화인데  소설에선 이미 키스한상태이고 만화에선 아직 안했네요ㅎ 순서를 바꾸신듯,김 비서가 왜 그럴까(애장판) 42화,2,1
6726,만화쟁이~~~~??,17.04.26,"아잉 어쩔껴 어쩓껴~~~ 더 보고싶당~~ 보고싶당~~
있는캐시 다 질렀는데도 보고픔이 목마르당~~ㅠㅠ",김 비서가 왜 그럴까(애장판) 39화,2,댓글 달기
6727,꼼찌슈,17.04.26,연인이나 부부랑 다른게 대체 뭐...,김 비서가 왜 그럴까(애장판) 17화,2,댓글 달기
6728,Elie,17.04.25,"미소 역시 미소야...헉, 드럽게 익숙한 목소리..",김 비서가 왜 그럴까(애장판) 35화,2,댓글 달기
6729,붉디붉은피,17.04.24,저시키 어이없네,김 비서가 왜 그럴까(애장판) 34화,2,댓글 달기
6730,C.Cat,17.04.24,"다시 정주행해도 재밌어요!
사랑스런 주인공들 덕분에 저도 행복하네요. 작가님 감사합니다!
개인적으로 영준이의 작명센스는 좀 닮고 싶네요 ㅋㅋㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 78화,2,댓글 달기
6731,Hestia,17.04.24,아들이구나,김 비서가 왜 그럴까(애장판) 69화,2,댓글 달기
6732,지니엘,17.04.24,성연이가 진짜 싫다 자기가 피해자라고 기억조작하는거잖아...영준이가 사고 피해자인데ㅜㅜ 미소야 성연이가 아니라 성현이라고ㅜㅜ,김 비서가 왜 그럴까(애장판) 34화,2,댓글 달기
6733,테라포밍,17.04.23,"중간에 살짝 건너뛰었는데...영준이 유괴당한 과거때문에 그간 잠도 편히 못잘정도로 후유증이 있었군여
근데 왜 형은 자기가 유괴 당했던걸로 알고있나요? 아시는분 계신가요?",김 비서가 왜 그럴까(애장판) 41화,2,1
6734,@@@,17.04.23,형때문에 이사단이났구나,김 비서가 왜 그럴까(애장판) 51화,2,댓글 달기
6735,지니엘,17.04.22,영준아...왜 그랬어...남자답게 키스해야지,김 비서가 왜 그럴까(애장판) 33화,2,댓글 달기
6736,체리쿄쿄,17.04.22,영준이가 과거의 무서운 기억이 떠올라서 밀어버린듯 미소야미워하지말아줘,김 비서가 왜 그럴까(애장판) 32화,2,댓글 달기
6737,소이,17.04.21,"다들 유기농 상추 뜯어 먹는 소리 하네ㅋㅋㅋㅋ
이들 셋 어쩜 좋아ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 30화,2,댓글 달기
6738,민지맘,17.04.21,이때부터 영준이 미소한테 관심 있었구만..,김 비서가 왜 그럴까(애장판) 75화,2,1
6739,미소러브^^♡,17.04.21,영준 멋져요~~~,김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6740,웹툰웹소중독자,17.04.21,태몽이 몇개여~~~~~ ㅎㅎㅎ,김 비서가 왜 그럴까(애장판) 69화,2,댓글 달기
6741,에클비,17.04.21,박 박사는 조용히 해.,김 비서가 왜 그럴까(애장판) 39화,2,댓글 달기
6742,송송,17.04.20,흠...역시 몸매유지는 매일 하는거...난 내일부터 ㅋ,김 비서가 왜 그럴까(애장판) 58화,2,댓글 달기
6743,지니엘,17.04.20,역시 영준이 형이 작가였네...미소야 책만 좋은거지?,김 비서가 왜 그럴까(애장판) 31화,2,댓글 달기
6744,아퀴나스,17.04.20,영준이 심성이 참곱다,김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6745,미소러브^^♡,17.04.20,아..영준이ㅜㅜ,김 비서가 왜 그럴까(애장판) 54화,2,댓글 달기
6746,모야모야,17.04.20,"언니 완전 짱!!!
근데 이 커플은 언제쯤 달달한 모드가 나올까요??",김 비서가 왜 그럴까(애장판) 33화,2,댓글 달기
6747,보경♥민성맘,17.04.19,ㅋㅋ 말희  제 이름인데 흔히  쓰는 이름은  아닌데‥ 이렇게 나오니까 좋네요 촌스럽지만ᆢ,김 비서가 왜 그럴까(애장판) 33화,2,1
